Category,No,Title,Company,Location,Publication Date,Technology Stack,Salary,Experience,Contract Type,URL,Description
Big Data,22,Senior Data & Analytics Engineer,EY,Barcelona,29/05/2026,"Microsoft Fabric, Azure, Synapse",Not specified,3+ years,Permanent,https://www.tecnoempleo.com/senior-data-analytics-engineer-ey/microsoft-fabric-azure/rf-60fc179852d69373c045,"En EY, estamos preparados para afrontar el futuro con confianza, ""shape the future with confidence"" Nuestro objetivo es apoyarte para que alcances el éxito dentro de un ... Microsoft Fabric Azure Synapse"
Big Data,23,Senior Data Engineer / Technical Lead,Santander,Madrid,29/05/2026,"ETL, Python, Spark",Not specified,5+ years,Permanent,https://www.tecnoempleo.com/senior-data-engineer-technical-lead-santander/etl-python/rf-712f14f532f673b76847,Senior Data Engineer / Technical Lead Country: Spain ES EL MOMENTO Santander (www.santander.com) está evolucionando de ser una marca global de alto impacto a una ... ETL Python Spark
Big Data,24,Data Engineer / Backend Developer,CAS TRAINING,100% remoto,29/05/2026,"Azure Databricks, Spark, PySpark",39.000€ - 45.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/data-engineer-backend-developer-cas-training/azure-databricks-spark/rf-73b913f6421c5352034e,Descripción del puesto Buscamos un Data Engineer (Journeyman/Master) para integrarse en un proyecto estratégico de la plataforma analítica del Sector Bancario. Tu misión ... Azure Databricks Spark PySpark
Big Data,25,Big Data IA Researcher Developer (remoto),ZYLK,100% remoto,29/05/2026,"big data, Linux, Hadoop",Not specified,Not specified,Permanent,https://www.tecnoempleo.com/big-data-ia-researcher-developer-remoto-zylk/big-data-linux/rf-5ff81bc9922203d04d47,"Estamos ampliando nuestros equipos de I+D y buscamos developers/researchers que tengan interés en desarrollarse profesionalmente en IA, IoT, Edge Computing y Bigdata. ... big data Linux Hadoop"
Big Data,26,Data Analyst (Sector Automocion),Michael Page,100% remoto,29/05/2026,"Power BI, Excel, SQL",30.000€ - 33.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/data-analyst-sector-automocion-michael-page/power-bi-excel/rf-bebf1c902220233f2c42,"Perfil buscado (Hombre/Mujer) • Analizar grandes volúmenes de datos del sector automoción, especialmente relacionados con motores y transmisiones (powertrain), para ... Power BI Excel SQL"
Big Data,27,Senior Data Analyst - 6 months,Michael Page,Madrid,29/05/2026,"Excel, SQL",Not specified,Not specified,Temporary,https://www.tecnoempleo.com/senior-data-analyst-6-months-michael-page/excel-sql/rf-462a18a7923353346346,"Reporting to the Manager of this division, your main responsibilities will be: • Support effective decision-making through analysis of critical issues, including capacity... Excel SQL"
Big Data,28,Data Engineer (C1 Inglés),Second Window,Madrid,29/05/2026,"PYTHON, AWS, SCALA",33.000€ - 39.000€ b/a,3+ years,Permanent,https://www.tecnoempleo.com/data-engineer-c1-ingles-second-window/python-aws/rf-3edc1c6ae22103a5b54f,"En Second Window buscamos un Ingeniero/a de Datos con mentalidad ownership para integrarse en proyectos de alta escala, diseñando y ejecutando infraestructuras de datos de ... PYTHON AWS SCALA"
Big Data,29,Data Architect / Data Architecture Lead,Michael Page,Madrid,29/05/2026,"Data, EDM, DWH",54.000€ - 72.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/data-architect-data-architecture-lead-michael-page/edm-dwh/rf-b4c11a0772ee53d6a74b,• Diseñarás Enterprise Data Models (EDM) y arquitecturas de DWH end‑to‑end. • Liderarás migraciones (on-prem → cloud → Power BI). • Impulsarás modelado ... Data EDM DWH
Big Data,30,DATA ENGINEER,CAS TRAINING,Barcelona,29/05/2026,"PYTHON, JAVA, SCALA",30.000€ - 36.000€ b/a,2+ years,Permanent,https://www.tecnoempleo.com/data-engineer-cas-training/python-java/rf-015618eb221d4391654b,Modalidad: 60% teletrabajo en BARCELONA Se requiere experiencia mínima de 2 años como Ingeniero/a de Datos para proyecto hibrido en Barcelona Funciones principales Diseñ... PYTHON JAVA SCALA
Analista De Datos,31,Analistas Programadores .NET / Java Back,Devoteam,100% remoto,29/05/2026,".net, java, PostgreSQL",Not specified,25+ years,Permanent,https://www.tecnoempleo.com/analistas-programadores-net-java-back-devoteam/net-postgresql/rf-4b4e1b5552c453a08944,"Descripción de la empresa Devoteam es una consultora europea líder enfocada en estrategia digital, plataformas tecnológicas, ciberseguridad y transformación ... .net java PostgreSQL"
Analista De Datos,32,Líder Técnico/a ó Analista Senior Java,Digital Talent Agency,100% remoto,29/05/2026,"java, microservicios, spring",36.000€ - 45.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/lider-tecnico-o-analista-senior-java-digital-talen/microservicios-spring/rf-16d911afc28723b6f34d,Zemsania busca incorporar un/a ANALISTA PROGRAMADOR/a JAVA FULLSTACK para un proyecto estable y de larga duración en el sector público. Si eres un apasionado/a de la ... java microservicios spring
Analista De Datos,33,Analista/Programador .NET Microsoft Service Broker,CMV Consultores,100% remoto,29/05/2026,"Microsoft Service Broker, c#, .Net Framework",39.000€ - 42.000€ b/a,6+ years,Permanent,https://www.tecnoempleo.com/analista-programador-net-microsoft-service-broker-/microsoft-service-broke/rf-64fa161a72d88332d647,"Desde CMV Consultores te brindamos las mejores oportunidades, en importantes clientes. Buscamos un Analista Programador .NET + Microsoft Service Broker con experiencia mí... Microsoft Service Broker c# .Net Framework"
Analista De Datos,34,Analista Programador/a Cobol en Remoto,Digital Talent Agency,100% remoto,29/05/2026,"cobol, db2, mainframe",Not specified,2+ years,Permanent,https://www.tecnoempleo.com/analista-programador-cobol-en-remoto-digital-talen/db2-mainframe/rf-941f1087e27af3d9984a,"Descripción ¡Únete a Zemsania como Analista Programador/a Cobol en Remoto! Zemsania es una consultora tecnológica internacional con más de 20 años de trayectoria, ... cobol db2 mainframe"
Analista De Datos,35,Analista Programador/a Java,Baoss,Madrid,29/05/2026,"Java, Spring Boot, APIs REST",33.000€ - 36.000€ b/a,Not specified,Permanent,https://www.tecnoempleo.com/analista-programador-java-baoss/spring-boot-apis-rest/rf-d90518126203638da542,Buscamos un/a Analista Programador/a con amplia experiencia en desarrollo backend para incorporarse a un proyecto estable en cliente ubicado en Madrid. La persona seleccionada... Java Spring Boot APIs REST
